N,P,K,temperature,humidity,ph,rainfall,label
116,67,165,38.35,27.96,6.79,278.03,rice
128,117,20,35.01,21.79,7.92,271.76,rice
70,69,141,11.15,22.69,7.12,223.91,rice
68,5,137,10.37,78.7,4.94,170.45,rice
69,131,151,18.47,66.19,6.98,68.62,rice
3,20,67,22.67,47.73,3.83,128.18,rice
99,43,38,23.13,20.75,4.11,251.84,rice
124,39,153,10.72,46.58,5.83,231.88,rice
89,49,95,43.64,43.51,5.98,104.72,rice
2,6,119,29.17,33.56,6.39,81.71,rice
120,21,176,38.8,86.12,8.34,62.2,rice
89,77,36,43.15,25.59,9.44,220.57,rice
30,7,10,42.47,23.8,9.81,161.58,rice
137,106,128,24.87,50.12,3.7,159.33,wheat
87,50,113,15.98,19.44,9.61,120.41,wheat
16,84,182,28.88,96.47,4.56,219.13,wheat
117,54,163,36.95,36.87,6.0,20.98,wheat
61,10,203,24.7,26.69,8.68,214.28,wheat
39,114,75,19.11,42.37,4.74,56.29,wheat
34,123,175,14.66,68.55,8.57,120.3,wheat
42,59,166,33.21,90.49,4.13,21.86,wheat
120,44,24,42.87,25.79,6.42,34.85,wheat
31,136,9,41.25,29.37,9.83,56.28,wheat
93,110,66,39.7,63.87,7.24,154.25,wheat
3,53,101,41.9,89.09,8.86,147.78,wheat
47,28,14,41.73,86.64,8.26,266.18,wheat
32,116,111,36.59,54.26,6.06,112.57,wheat
109,101,187,19.85,58.07,5.89,282.89,wheat
74,23,186,20.22,63.5,8.57,256.27,wheat
67,83,194,32.4,73.4,8.06,293.09,wheat
99,35,66,29.82,14.61,8.05,69.89,wheat
11,52,160,22.16,46.97,4.46,298.56,wheat
113,70,98,28.74,37.83,8.85,237.45,wheat
123,50,18,39.29,32.65,4.57,182.77,wheat
126,106,48,23.44,25.29,6.39,143.51,wheat
64,137,150,17.97,45.59,3.8,198.75,wheat
55,62,121,15.89,49.57,6.68,23.67,wheat
127,70,112,32.55,67.11,3.85,43.35,wheat
68,105,9,33.52,78.42,5.56,255.96,wheat
36,6,12,27.02,30.16,5.15,24.89,wheat
122,6,149,37.74,30.15,8.08,242.51,wheat
75,115,6,29.57,30.85,4.32,200.86,wheat
120,56,197,32.88,27.25,4.62,83.64,wheat
3,85,140,12.3,89.97,4.34,77.38,wheat
45,56,102,12.09,80.7,5.13,262.33,wheat
128,72,71,24.48,85.81,3.71,123.62,wheat
62,106,204,33.21,69.58,3.92,41.55,wheat
62,71,167,34.58,30.66,5.16,96.03,wheat
97,127,87,13.82,41.9,7.83,78.73,wheat
110,65,174,14.22,41.65,8.31,179.68,wheat
131,5,160,25.94,29.16,7.64,161.87,wheat
90,44,83,32.24,21.58,5.79,126.54,wheat
93,95,66,33.19,48.19,4.47,149.43,wheat
80,114,13,20.06,66.67,4.46,206.69,wheat
35,76,161,39.16,14.68,5.3,32.29,wheat
71,37,91,30.09,97.9,7.2,198.72,wheat
50,95,12,16.4,38.73,5.47,152.99,wheat
48,10,168,14.94,81.77,9.86,198.28,wheat
30,13,62,15.4,48.64,9.45,141.95,wheat
8,26,151,26.4,61.6,4.03,175.66,wheat
17,98,186,37.65,70.08,6.86,47.2,wheat
87,83,101,24.58,96.18,7.79,223.37,wheat
132,104,87,13.93,95.21,9.75,265.27,wheat
133,56,177,43.61,52.38,5.88,188.93,wheat
138,130,69,16.17,91.62,6.55,226.19,wheat
125,52,27,21.83,20.62,6.75,181.67,wheat
59,137,150,28.38,59.8,6.09,40.14,wheat
100,28,204,18.67,87.28,6.88,219.6,wheat
91,131,31,35.68,35.83,6.85,112.32,wheat
108,60,61,37.03,15.81,8.61,124.1,wheat
100,52,158,40.63,54.48,8.81,224.53,wheat
12,109,117,26.98,37.32,8.3,137.43,wheat
100,79,181,44.8,22.35,5.74,271.05,wheat
1,82,154,43.08,23.79,9.28,205.15,wheat
101,7,204,37.85,64.65,3.67,254.75,wheat
113,34,109,24.46,79.52,6.12,168.35,wheat
75,45,37,44.54,37.51,9.14,295.77,wheat
22,139,87,37.11,46.13,3.75,31.08,wheat
67,105,168,39.87,27.48,3.8,111.18,wheat
2,5,109,20.53,37.33,6.73,30.42,wheat
8,119,102,29.33,87.0,6.35,130.74,wheat
80,22,95,12.06,24.38,6.26,171.24,wheat
75,143,111,37.94,98.39,4.95,80.4,wheat
111,120,191,33.79,94.74,5.63,182.96,wheat
101,12,103,26.71,61.31,5.56,101.1,wheat
37,93,179,29.8,81.19,7.02,168.54,wheat
78,19,120,38.4,36.5,8.18,70.32,wheat
45,53,19,21.14,72.59,3.98,48.81,wheat
68,87,89,30.63,61.53,5.91,227.68,wheat
18,56,53,18.06,20.99,5.83,103.78,wheat
0,66,35,11.9,58.25,3.72,249.7,wheat
75,5,165,12.6,30.34,4.93,24.69,wheat
1,37,87,37.05,19.63,9.64,198.52,wheat
8,77,29,15.6,88.84,3.71,135.52,wheat
21,92,36,36.14,29.05,9.52,249.27,wheat
38,7,192,22.83,88.56,4.83,22.78,wheat
6,101,13,39.2,85.68,7.67,82.02,wheat
70,85,114,14.96,68.22,8.59,75.81,wheat
77,87,38,33.25,68.31,7.25,268.57,wheat
85,6,17,14.85,92.55,9.86,188.7,wheat
40,17,102,31.21,71.87,4.4,70.27,wheat
128,142,144,41.56,72.1,9.64,43.97,wheat
82,64,176,17.52,55.43,9.22,154.95,wheat
34,135,196,43.53,73.22,9.83,118.42,wheat
44,142,170,32.36,43.02,7.62,213.59,wheat
123,126,186,37.81,87.58,4.47,177.62,wheat
31,112,55,26.76,59.22,9.32,185.37,wheat
48,38,135,41.07,29.41,7.41,271.33,wheat
54,57,116,44.47,71.16,6.52,115.64,wheat
57,96,51,15.81,27.03,9.56,277.03,wheat
15,88,196,23.72,89.97,5.08,109.62,wheat
103,101,154,23.37,98.28,8.34,208.94,wheat
103,122,163,34.24,45.24,9.47,298.26,wheat
93,42,106,31.59,72.92,5.21,36.65,maize
73,112,55,18.91,67.98,9.7,232.26,maize
105,14,136,33.27,50.15,7.66,24.2,maize
113,13,196,26.47,84.74,6.1,216.52,maize
76,38,8,22.62,78.34,8.5,101.13,maize
136,8,13,37.43,37.04,7.51,108.83,maize
73,81,180,16.12,53.36,4.13,84.67,maize
57,87,115,11.67,25.99,7.05,54.68,maize
137,75,39,27.53,95.81,8.63,244.86,maize
23,17,97,37.53,95.22,6.58,84.11,maize
43,86,169,40.41,68.48,8.57,252.65,maize
37,113,198,35.4,87.27,6.83,20.81,maize
89,54,29,12.81,36.28,8.51,225.4,maize
26,10,20,26.76,31.55,4.6,38.65,maize
56,68,125,14.57,78.68,5.55,157.76,maize
29,9,9,29.59,57.72,4.89,20.42,maize
59,7,164,39.3,38.09,4.77,127.88,maize
115,116,75,14.56,22.53,7.42,229.97,maize
130,10,29,23.51,36.15,6.37,36.9,maize
136,111,122,43.65,64.48,8.62,70.13,maize
4,36,12,19.43,53.19,6.83,251.01,maize
92,31,102,18.67,66.87,3.79,38.85,maize
95,140,99,32.98,44.34,4.74,172.27,maize
134,32,140,17.38,95.09,6.14,160.3,maize
136,44,117,19.19,66.13,5.4,225.68,maize
47,138,101,12.23,60.47,8.98,198.87,maize
108,111,161,38.29,71.51,4.01,47.14,maize
41,94,92,21.94,70.01,5.65,181.78,maize
21,23,138,38.5,23.35,5.84,229.65,maize
128,102,110,38.91,58.1,8.57,219.4,maize
12,45,107,20.88,41.78,6.23,151.09,maize
126,49,45,17.61,62.93,9.43,99.75,maize
84,46,13,14.87,32.27,8.25,139.12,maize
133,134,27,38.11,17.31,9.4,214.88,maize
136,110,97,15.58,65.46,4.05,55.67,maize
3,26,71,26.04,57.86,7.65,141.99,maize
59,14,185,26.71,62.9,5.3,207.88,maize
10,103,8,32.59,90.88,6.67,140.99,maize
46,16,171,42.41,74.59,9.56,70.43,maize
134,125,170,28.81,42.07,7.89,195.17,maize
112,117,60,34.91,47.78,4.21,95.92,maize
104,134,86,29.06,51.31,9.83,77.01,maize
81,37,57,24.66,72.43,4.19,240.57,maize
100,139,22,44.28,42.63,9.59,199.91,maize
118,70,89,35.09,26.74,6.42,241.85,maize
97,106,81,25.19,93.17,5.45,83.43,maize
59,98,107,25.64,98.91,6.15,70.3,maize
9,6,16,42.19,94.77,4.4,46.51,maize
33,69,156,38.39,73.99,6.03,121.38,maize
27,128,34,39.36,27.81,5.87,297.72,maize
17,135,142,10.25,93.08,4.57,239.69,maize
76,12,192,42.39,82.47,8.67,116.86,maize
93,127,124,26.34,61.66,9.31,290.93,maize
75,103,141,22.13,76.92,6.75,83.24,maize
56,126,42,36.19,70.96,9.06,189.6,maize
30,127,193,25.37,23.8,7.0,170.16,maize
52,19,28,13.07,53.95,7.9,264.79,maize
74,100,192,28.55,20.64,8.11,41.88,maize
98,131,82,38.08,92.69,8.75,278.16,maize
51,139,80,23.86,24.63,5.07,128.08,maize
81,111,75,35.99,17.51,5.3,67.23,maize
68,42,52,31.57,19.36,5.22,236.02,maize
30,85,37,38.51,23.43,4.49,275.85,maize
57,134,118,43.34,99.6,7.84,233.93,maize
34,142,198,24.62,65.88,4.41,148.06,maize
116,95,156,21.14,22.52,4.55,107.39,maize
110,60,125,30.51,62.27,5.07,200.86,maize
123,91,196,26.07,42.22,3.6,133.58,maize
28,144,50,26.92,84.33,8.51,57.52,maize
16,33,143,11.97,25.97,9.23,255.96,maize
112,123,145,33.83,60.36,8.79,64.47,maize
102,20,183,14.56,78.02,9.07,263.52,maize
0,75,183,11.74,35.26,8.11,191.56,maize
60,15,23,43.42,73.76,6.39,149.94,maize
15,81,138,15.05,71.39,7.18,239.21,maize
7,133,82,37.94,23.84,5.45,78.96,maize
88,23,128,17.82,50.59,4.62,107.04,maize
43,125,169,34.69,87.73,7.29,41.99,maize
101,43,45,42.59,79.84,3.73,244.38,maize
20,111,20,17.79,83.84,5.93,184.14,maize
14,73,25,42.87,58.7,3.62,298.65,maize
20,118,99,12.13,94.53,7.99,24.17,maize
128,68,60,34.31,69.0,4.12,35.51,maize
110,83,157,19.57,98.78,8.51,233.27,maize
8,97,22,20.81,98.09,9.55,266.83,maize
82,8,131,16.65,31.44,6.86,133.26,maize
104,55,44,42.27,69.15,7.3,202.43,maize
41,54,111,12.85,73.28,8.12,209.13,maize
113,60,189,29.1,55.17,6.14,140.66,maize
82,87,128,13.62,54.21,5.77,63.7,maize
40,132,50,33.07,60.13,9.82,266.63,maize
87,37,89,31.27,52.43,7.78,277.6,maize
22,124,195,42.57,85.26,4.04,191.63,maize
74,138,150,13.8,25.54,5.39,236.85,maize
50,114,32,14.26,71.3,7.9,199.87,maize
116,76,94,36.43,30.72,7.98,59.72,maize
1,61,73,10.57,47.93,4.88,176.43,maize
123,120,153,42.37,14.13,7.29,108.29,maize
118,125,92,29.9,44.77,5.59,129.88,maize
15,26,51,36.16,86.19,9.16,70.09,maize
124,15,166,43.59,71.48,7.93,34.66,chickpea
24,43,127,34.07,47.92,7.59,44.07,chickpea
60,10,155,20.36,57.34,5.84,299.31,chickpea
25,100,180,14.12,67.52,7.87,82.57,chickpea
96,26,73,15.37,24.52,3.85,97.79,chickpea
25,63,31,44.55,34.47,5.54,227.08,chickpea
130,118,147,43.56,60.35,6.73,273.12,chickpea
38,60,181,36.02,99.25,8.69,187.72,chickpea
77,38,27,36.44,52.37,5.28,40.89,chickpea
132,42,69,12.06,85.96,4.04,111.53,chickpea
84,136,152,43.61,39.07,7.65,282.92,chickpea
37,129,163,35.38,64.53,3.99,237.92,chickpea
55,43,178,43.06,21.08,6.75,204.13,chickpea
85,135,9,37.61,62.97,4.41,290.14,chickpea
100,109,86,16.92,57.88,3.75,76.46,chickpea
82,54,26,21.14,43.32,6.71,103.98,chickpea
111,127,143,16.49,44.66,9.35,213.24,chickpea
80,128,46,13.0,48.61,8.71,299.36,chickpea
18,140,12,20.11,38.49,6.56,155.72,chickpea
107,94,146,37.73,87.19,6.6,243.75,chickpea
92,15,202,38.63,87.36,4.6,183.34,chickpea
10,8,195,34.47,30.15,7.76,102.96,chickpea
113,109,201,30.55,31.57,9.36,243.41,chickpea
87,12,86,25.55,82.27,3.99,222.28,chickpea
35,119,68,15.87,59.66,6.77,270.87,chickpea
129,86,165,19.19,32.62,3.78,265.58,chickpea
109,144,143,22.73,75.68,3.65,64.67,chickpea
132,81,50,21.28,21.65,4.23,96.86,chickpea
114,30,194,14.29,34.09,4.91,130.93,chickpea
106,135,44,34.0,87.04,4.75,192.96,chickpea
14,88,91,23.06,70.8,8.07,132.72,chickpea
51,142,114,31.73,91.36,9.04,170.62,chickpea
74,47,60,32.56,73.15,7.25,218.29,chickpea
33,90,85,37.44,98.87,5.87,20.44,chickpea
54,136,192,22.95,94.21,9.79,234.17,chickpea
109,84,67,41.91,84.28,7.94,165.19,chickpea
62,39,127,42.67,81.13,4.68,27.01,chickpea
11,55,87,21.87,28.5,6.91,278.18,chickpea
120,107,9,11.75,65.98,4.24,207.54,chickpea
107,5,9,40.53,52.27,7.6,176.55,chickpea
57,129,177,37.71,78.11,5.95,280.11,chickpea
100,76,73,29.56,24.56,8.87,292.8,chickpea
119,62,93,15.18,59.15,7.9,133.61,chickpea
72,80,38,31.53,36.89,5.29,120.83,chickpea
68,49,139,40.66,38.1,8.85,236.7,chickpea
48,22,176,38.85,58.13,8.47,129.55,chickpea
11,99,93,37.74,87.67,4.7,115.51,chickpea
0,84,78,26.29,64.36,5.16,261.72,chickpea
43,12,9,31.45,25.15,4.31,179.31,chickpea
36,119,48,15.4,39.67,9.61,173.7,chickpea
42,91,39,23.97,27.54,8.37,65.62,chickpea
104,119,63,43.4,55.4,5.26,222.75,chickpea
71,130,77,41.08,79.56,6.16,121.02,chickpea
16,108,130,22.94,80.28,4.66,93.09,chickpea
87,42,124,29.89,89.4,9.54,69.43,chickpea
85,126,178,33.13,93.81,7.37,270.92,chickpea
24,48,47,27.97,79.76,8.55,114.09,chickpea
41,131,120,33.37,89.21,9.72,59.32,chickpea
48,72,142,38.52,59.36,4.68,215.29,chickpea
44,142,202,29.04,60.49,7.44,30.89,chickpea
41,26,179,19.15,14.2,6.7,42.43,chickpea
104,13,64,36.07,46.68,9.5,83.6,chickpea
111,42,137,35.47,49.38,5.71,136.89,chickpea
22,76,175,31.98,29.42,8.58,182.89,chickpea
121,57,131,42.43,67.17,6.31,160.41,chickpea
83,14,43,15.23,66.38,5.54,125.09,chickpea
125,65,78,19.87,78.92,8.63,126.16,chickpea
82,130,173,40.84,93.2,9.32,270.91,chickpea
78,130,161,27.72,80.93,5.73,80.77,chickpea
83,99,77,16.78,19.9,8.63,237.59,chickpea
29,73,77,38.25,70.18,7.0,187.57,chickpea
40,130,105,22.56,52.8,5.13,219.18,chickpea
5,142,121,39.54,51.3,7.09,170.86,chickpea
85,114,199,14.03,98.28,5.25,29.47,chickpea
72,125,197,29.97,44.26,7.28,148.03,chickpea
89,113,106,20.19,54.98,5.13,136.47,chickpea
137,140,188,32.94,96.44,8.99,50.23,chickpea
132,127,58,43.02,21.98,9.67,78.04,chickpea
106,30,166,33.9,98.12,5.26,262.55,chickpea
91,86,38,30.88,37.07,6.84,251.32,chickpea
118,102,103,28.64,39.53,5.56,59.87,chickpea
10,115,71,42.01,71.19,3.8,49.87,chickpea
5,43,86,33.65,91.51,5.36,90.12,chickpea
60,59,96,26.2,43.28,9.11,107.36,chickpea
35,7,186,29.87,28.49,5.84,292.84,chickpea
31,44,118,19.04,27.82,8.08,97.85,chickpea
37,15,14,27.54,96.73,4.36,190.11,chickpea
41,64,83,19.78,99.63,7.67,30.98,chickpea
109,144,9,22.93,80.26,8.02,265.92,chickpea
30,103,17,40.17,84.37,8.93,182.41,chickpea
105,69,104,35.5,54.99,3.93,99.49,chickpea
17,68,38,10.75,67.05,4.84,68.56,chickpea
91,9,83,22.77,51.55,9.58,73.94,chickpea
108,75,81,40.32,34.63,5.41,74.32,chickpea
0,90,154,27.34,73.41,9.33,291.51,chickpea
12,83,102,16.01,51.54,9.53,148.55,chickpea
79,79,116,15.06,79.7,5.62,183.09,chickpea
89,38,43,34.16,16.18,3.91,40.09,chickpea
109,142,200,13.84,57.69,9.79,81.7,chickpea
68,38,82,30.7,64.58,8.51,234.66,chickpea
36,94,5,34.25,51.78,7.31,110.49,kidneybeans
96,36,50,33.44,28.62,6.22,221.65,kidneybeans
111,90,143,18.84,19.67,9.77,291.19,kidneybeans
77,19,48,25.48,20.98,9.75,285.85,kidneybeans
74,45,13,13.98,42.13,8.7,47.02,kidneybeans
70,64,154,17.14,28.54,3.89,295.78,kidneybeans
65,62,109,37.59,90.04,9.15,263.06,kidneybeans
40,52,99,42.03,37.53,3.73,157.44,kidneybeans
25,134,96,30.93,56.19,9.24,224.17,kidneybeans
29,127,83,13.74,14.88,5.59,102.19,kidneybeans
113,75,122,28.54,15.72,8.25,196.84,kidneybeans
137,136,188,14.71,14.75,5.0,117.43,kidneybeans
42,118,49,14.09,76.74,4.72,296.08,kidneybeans
23,143,5,43.87,82.48,9.34,81.89,kidneybeans
123,18,62,26.13,81.49,5.93,97.16,kidneybeans
15,139,8,16.76,44.25,8.75,97.4,kidneybeans
80,120,180,29.38,26.99,7.27,168.29,kidneybeans
98,144,119,12.48,96.94,7.76,56.25,kidneybeans
136,123,174,15.32,35.87,6.19,220.48,kidneybeans
13,21,36,27.79,25.38,4.14,126.82,kidneybeans
39,79,23,29.26,90.67,6.07,285.41,kidneybeans
122,136,39,16.36,99.02,7.74,186.31,kidneybeans
91,135,67,20.0,72.93,5.67,153.91,kidneybeans
29,90,200,39.65,30.62,8.36,272.78,kidneybeans
22,34,91,17.16,62.36,9.71,280.2,kidneybeans
120,100,6,19.05,41.07,4.49,86.52,kidneybeans
80,30,9,16.46,25.6,5.47,153.11,kidneybeans
47,127,147,43.73,85.04,5.74,79.53,kidneybeans
2,98,194,26.3,51.26,9.46,111.72,kidneybeans
36,55,7,36.88,41.2,7.28,138.76,kidneybeans
82,132,161,41.79,99.02,5.68,255.35,kidneybeans
38,113,9,24.47,58.8,7.39,232.68,kidneybeans
119,57,125,38.45,95.03,9.85,61.8,kidneybeans
39,48,87,42.73,47.06,9.6,88.61,kidneybeans
61,109,38,11.98,88.01,4.38,168.38,kidneybeans
41,33,89,37.94,75.37,9.43,174.43,kidneybeans
22,98,131,17.66,78.16,7.34,242.71,kidneybeans
76,64,19,30.44,40.18,9.15,299.32,kidneybeans
55,95,67,21.14,31.42,3.76,57.51,kidneybeans
91,143,38,44.69,65.98,6.04,106.4,kidneybeans
77,80,154,34.15,70.21,6.44,165.06,kidneybeans
54,53,58,34.68,24.16,8.23,170.47,kidneybeans
1,71,7,31.25,44.52,4.19,270.68,kidneybeans
58,13,182,27.0,92.06,5.81,166.19,kidneybeans
112,27,41,41.55,15.39,4.36,183.72,kidneybeans
68,97,83,18.21,50.39,5.41,267.48,kidneybeans
90,96,97,44.89,19.28,8.13,96.99,kidneybeans
98,38,93,45.0,91.89,7.3,171.98,kidneybeans
110,41,142,21.56,78.88,9.21,295.49,kidneybeans
24,61,191,11.7,45.5,3.51,249.17,kidneybeans
120,10,23,26.63,91.4,5.0,211.93,kidneybeans
68,42,169,33.02,78.77,9.71,144.88,kidneybeans
7,25,34,12.64,35.79,7.06,143.5,kidneybeans
110,35,142,27.05,43.18,5.08,138.89,kidneybeans
48,76,82,28.43,64.99,8.43,32.68,kidneybeans
135,6,13,11.48,20.48,5.37,22.56,kidneybeans
57,129,37,37.86,18.87,5.01,164.72,kidneybeans
92,38,41,40.67,95.11,7.81,240.65,kidneybeans
121,9,109,26.42,43.16,3.9,72.68,kidneybeans
14,112,58,12.62,14.41,6.2,214.88,kidneybeans
85,61,11,42.74,34.45,8.41,174.25,kidneybeans
51,76,34,18.09,44.92,9.47,124.3,kidneybeans
14,77,98,17.75,52.31,4.71,138.85,kidneybeans
56,90,157,28.17,21.2,9.64,121.56,kidneybeans
116,97,8,18.0,22.61,4.05,148.37,kidneybeans
15,29,144,10.16,39.52,6.28,109.7,kidneybeans
27,51,5,34.89,60.59,6.25,235.11,kidneybeans
43,113,64,30.7,97.26,8.87,282.53,kidneybeans
63,40,22,38.4,68.35,5.82,206.39,kidneybeans
55,111,35,17.63,98.3,5.92,64.27,kidneybeans
59,42,70,13.47,30.95,4.62,244.2,kidneybeans
44,62,102,19.7,96.14,4.98,143.34,kidneybeans
10,129,189,33.8,76.72,5.36,138.48,kidneybeans
96,138,71,10.2,70.3,9.19,189.64,kidneybeans
61,134,38,25.74,55.52,4.28,55.46,kidneybeans
139,98,46,34.34,17.04,9.3,189.48,kidneybeans
41,15,79,38.4,62.94,9.24,262.81,kidneybeans
86,42,10,27.96,43.68,4.99,132.8,kidneybeans
100,56,132,43.25,22.76,7.56,237.48,kidneybeans
82,104,145,28.49,15.39,8.28,220.01,kidneybeans
30,55,8,15.34,85.26,5.57,119.18,kidneybeans
47,58,122,33.26,16.89,3.67,137.17,kidneybeans
51,13,187,16.53,20.48,9.23,163.89,kidneybeans
80,71,6,43.54,50.7,5.62,243.76,kidneybeans
73,71,98,34.25,36.44,5.14,144.37,kidneybeans
55,87,92,30.22,97.47,7.79,167.46,kidneybeans
76,39,94,17.13,97.54,6.26,81.18,kidneybeans
88,42,71,16.49,92.51,3.85,54.69,kidneybeans
110,33,34,10.23,94.68,7.25,158.81,kidneybeans
65,95,29,12.69,84.1,4.06,169.02,kidneybeans
10,38,169,44.58,46.14,4.42,200.47,kidneybeans
71,98,85,38.55,73.38,7.5,168.08,kidneybeans
61,46,81,37.61,78.89,6.85,239.75,kidneybeans
115,94,111,43.43,26.49,8.95,42.49,kidneybeans
99,12,123,21.49,94.87,7.27,106.33,kidneybeans
120,52,115,33.74,84.45,9.59,262.84,kidneybeans
60,13,172,22.62,39.0,4.08,270.13,kidneybeans
133,90,24,19.21,90.38,9.05,108.14,kidneybeans
87,136,136,10.39,56.75,5.46,257.09,kidneybeans
34,10,172,36.73,25.6,7.16,277.33,kidneybeans
15,52,100,14.49,89.26,4.34,117.2,pigeonpeas
102,57,37,30.92,60.41,4.56,288.54,pigeonpeas
128,137,171,14.04,85.0,5.46,191.89,pigeonpeas
21,40,109,25.03,73.55,8.65,217.46,pigeonpeas
129,118,120,23.67,33.0,8.49,197.29,pigeonpeas
101,111,101,37.96,31.63,5.11,66.28,pigeonpeas
7,46,68,30.61,62.97,3.93,77.43,pigeonpeas
95,119,154,19.14,17.82,6.9,94.01,pigeonpeas
90,76,40,20.55,36.98,7.76,218.12,pigeonpeas
36,144,190,15.52,83.75,8.19,290.04,pigeonpeas
118,99,170,43.51,67.45,6.2,210.26,pigeonpeas
100,73,135,19.29,84.21,8.63,73.76,pigeonpeas
97,42,169,21.09,85.81,4.49,185.97,pigeonpeas
89,13,9,20.76,28.91,9.89,287.84,pigeonpeas
59,17,102,35.47,54.02,7.56,219.02,pigeonpeas
115,24,178,23.09,20.19,7.06,95.96,pigeonpeas
62,34,12,26.45,51.79,5.5,98.13,pigeonpeas
26,61,190,20.37,38.65,3.69,132.79,pigeonpeas
13,124,164,25.87,14.45,7.33,181.5,pigeonpeas
130,92,169,21.97,31.93,4.06,80.83,pigeonpeas
5,59,90,36.05,65.62,7.88,228.22,pigeonpeas
5,32,199,29.72,95.11,8.01,128.22,pigeonpeas
102,44,136,43.77,93.01,7.33,186.64,pigeonpeas
11,43,68,31.77,68.03,8.9,162.29,pigeonpeas
89,101,190,37.37,64.89,7.13,181.32,pigeonpeas
